departamento,municipio,votos
ANTIOQUIA,LA UNION,11234
SUCRE,OVEJAS,11213
HUILA,ISNOS,11208
CAUCA,CALOTO,11171
BOLIVAR,SANTA ROSA DEL SUR,11158
CAUCA,CALDONO,11157
MAGDALENA,ARACATACA,11135
META,CUMARAL,11124
NORTE DE SANTANDER,EL ZULIA,11091
CUNDINAMARCA,TABIO,11054
META,SAN MARTIN,11035
CUNDINAMARCA,TENJO,11034
CESAR,EL COPEY,10986
CAUCA,TORIBIO,10806
CORDOBA,SAN BERNARDO DEL VIENTO,10806
CORDOBA,TUCHIN,10805
CALDAS,NEIRA,10785
HUILA,ACEVEDO,10777
ANTIOQUIA,CIUDAD BOLIVAR,10748
TOLIMA,PURIFICACION,10708
HUILA,PALERMO,10665
SUCRE,LOS PALMITOS,10646
CORDOBA,SAN ANTERO,10606
CAUCA,CORINTO,10537
ANTIOQUIA,AMAGA,10460
RISARALDA,QUINCHIA,10435
CORDOBA,VALENCIA,10336
CESAR,CHIMICHAGUA,10311
CESAR,CHIRIGUANA,10272
LA GUAJIRA,MANAURE,10243
MAGDALENA,ARIGUANI,10160
ANTIOQUIA,ARBOLETES,10156
CUNDINAMARCA,SILVANIA,10151
CESAR,SAN ALBERTO,10149
SUCRE,SAN JOSE DE TOLUVIEJO,10134
VALLE DEL CAUCA,BUGALAGRANDE,10083
ATLANTICO,REPELON,10079
CALDAS,AGUADAS,10039
CAUCA,PATIA,9935
ANTIOQUIA,SANTA BARBARA,9925
CUNDINAMARCA,COGUA,9877
ANTIOQUIA,SAN VICENTE FERRER,9863
LA GUAJIRA,BARRANCAS,9859
ANTIOQUIA,SANTA FE DE ANTIOQUIA,9856
HUILA,GIGANTE,9800
BOYACA,MONIQUIRA,9787
BOLIVAR,SAN JACINTO,9779
CESAR,SAN MARTIN,9734
TOLIMA,FLANDES,9674
VALLE DEL CAUCA,ANDALUCIA,9659
CESAR,LA PAZ,9646
ANTIOQUIA,SAN PEDRO DE URABA,9518
VALLE DEL CAUCA,GINEBRA,9454
SANTANDER,MALAGA,9425
CAUCA,PAEZ,9321
CAUCA,CAJIBIO,9299
META,RESTREPO,9279
ATLANTICO,PALMAR DE VARELA,9265
ATLANTICO,LURUACO,9161
ANTIOQUIA,PENOL,9131
HUILA,TIMANA,9071
HUILA,RIVERA,9067
SUCRE,SUCRE,9058
LA GUAJIRA,VILLANUEVA,9043
CALDAS,PENSILVANIA,9029
NARINO,SAMANIEGO,8996
ANTIOQUIA,DONMATIAS,8965
CUNDINAMARCA,CHOCONTA,8962
CUNDINAMARCA,CAQUEZA,8872
CUNDINAMARCA,VILLAPINZON,8803
TOLIMA,PLANADAS,8751
CALDAS,SAMANA,8717
PUTUMAYO,VILLAGARZON,8694
TOLIMA,ROVIRA,8677
SANTANDER,VELEZ,8661
CONSULADOS,ARGENTINA,8611
BOYACA,NOBSA,8605
CAUCA,GUACHENE,8595
ATLANTICO,CAMPO DE LA CRUZ,8590
NARINO,BUESACO,8542
CAUCA,INZA,8463
SUCRE,SAN PEDRO,8460
CUNDINAMARCA,SUBACHOQUE,8450
META,CASTILLA LA NUEVA,8446
CAUCA,ARGELIA,8348
GUAINIA,INIRIDA,8325
CHOCO,ISTMINA,8297
ANTIOQUIA,URRAO,8287
NORTE DE SANTANDER,CHINACOTA,8280
SUCRE,SAN BENITO ABAD,8270
VALLE DEL CAUCA,ANSERMANUEVO,8245
CORDOBA,SAN CARLOS,8208
CUNDINAMARCA,LA VEGA,8198
CESAR,RIO DE ORO,8191
CONSULADOS,ECUADOR,8177
CONSULADOS,CHILE,8149
MAGDALENA,GUAMAL,8102
CAUCA,MORALES,8100
CAUCA,VILLA RICA,8081
SUCRE,GALERAS,8066
TOLIMA,CAJAMARCA,8018
RISARALDA,MARSELLA,7971
META,GUAMAL,7926
CALDAS,MANZANARES,7908
BOLIVAR,MAHATES,7897
CAUCA,BUENOS AIRES,7895
CONSULADOS,AUSTRALIA,7891
BOLIVAR,SAN PABLO,7861
